iterazione,loss
50,0.3784
100,0.1985
150,0.1050
200,0.0674
250,0.0535
300,0.0227
350,0.0174
400,0.0168
450,0.0162
500,0.0168
550,0.0161
600,0.0126
650,0.0155
700,0.0112
750,0.0116
800,0.0105
850,0.0118
900,0.0092
950,0.0095
1000,0.0071
1050,0.0101
1100,0.0082
1150,0.0074
1200,0.0087
1250,0.0084
1300,0.0081
1350,0.0101
1400,0.0071
1450,0.0088
1500,0.0094
1550,0.0100
1600,0.0082
1650,0.0060
1700,0.0070
1750,0.0056
1800,0.0050
1850,0.0048
1900,0.0051
1950,0.0080
2000,0.0058
2050,0.0054
2100,0.0058
2150,0.0042
2200,0.0047
2250,0.0046
2300,0.0052
2350,0.0052
2400,0.0043
2450,0.0053
2500,0.0045
2550,0.0051
2600,0.0043
2650,0.0116
2700,0.0041
2750,0.0043
2800,0.0046
2850,0.0050
2900,0.0049
2950,0.0040
3000,0.0037
3050,0.0031
3100,0.0069
3150,0.0036
3200,0.0039
3250,0.0035
3300,0.0041
3350,0.0036
3400,0.0064
3450,0.0034
3500,0.0056
3550,0.0032
3600,0.0043
3650,0.0029
3700,0.0037
3750,0.0081
3800,0.0037
3850,0.0042
3900,0.0047
3950,0.0038
4000,0.0038
4050,0.0034
4100,0.0029
4150,0.0031
4200,0.0037
4250,0.0033
4300,0.0032
4350,0.0035
4400,0.0034
4450,0.0032
4500,0.0032
4550,0.0041
4600,0.0040
4650,0.0032
4700,0.0036
4750,0.0027
4800,0.0034
4850,0.0030
4900,0.0031
4950,0.0041
5000,0.0031
5050,0.0033
5100,0.0038
5150,0.0034
5200,0.0057
5250,0.0026
5300,0.0041
5350,0.0038
5400,0.0040
5450,0.0060
5500,0.0036
5550,0.0032
5600,0.0038
5650,0.0034
5700,0.0029
5750,0.0026
5800,0.0028
5850,0.0024
5900,0.0031
5950,0.0032
6000,0.0027
6050,0.0041
6100,0.0035
6150,0.0042
6200,0.0034
6250,0.0038
6300,0.0027
6350,0.0031
6400,0.0029
6450,0.0028
6500,0.0029
6550,0.0025
6600,0.0029
6650,0.0023
6700,0.0033
6750,0.0025
6800,0.0055
6850,0.0029
6900,0.0026
6950,0.0025
7000,0.0044
7050,0.0035
7100,0.0033
7150,0.0037
7200,0.0027
7250,0.0027
7300,0.0022
7350,0.0035
7400,0.0032
7450,0.0027
7500,0.0055
7550,0.0024
7600,0.0027
7650,0.0022
7700,0.0019
7750,0.0021
7800,0.0040
7850,0.0027
7900,0.0027
7950,0.0025
8000,0.0025
8050,0.0027
8100,0.0027
8150,0.0023
8200,0.0028
8250,0.0020
8300,0.0025
8350,0.0027
8400,0.0024
8450,0.0024
8500,0.0030
8550,0.0049
8600,0.0034
8650,0.0020
8700,0.0019
8750,0.0020
8800,0.0022
8850,0.0019
8900,0.0022
8950,0.0023
9000,0.0021
9050,0.0030
9100,0.0022
9150,0.0022
9200,0.0099
9250,0.0020
9300,0.0032
9350,0.0020
9400,0.0023
9450,0.0022
9500,0.0017
9550,0.0023
9600,0.0033
9650,0.0022
9700,0.0027
9750,0.0017
9800,0.0021
9850,0.0022
9900,0.0021
9950,0.0025
10000,0.0019
10050,0.0028
10100,0.0019
10150,0.0020
10200,0.0047
10250,0.0043
10300,0.0019
10350,0.0020
10400,0.0017
10450,0.0021
10500,0.0024
10550,0.0021
10600,0.0019
10650,0.0018
10700,0.0051
10750,0.0017
10800,0.0016
10850,0.0019
10900,0.0017
10950,0.0022
11000,0.0023
11050,0.0026
11100,0.0022
11150,0.0021
11200,0.0022
11250,0.0019
11300,0.0016
11350,0.0023
11400,0.0024
11450,0.0027
11500,0.0018
11550,0.0020
11600,0.0014
11650,0.0021
11700,0.0017
11750,0.0024
11800,0.0016
11850,0.0017
11900,0.0018
11950,0.0020
12000,0.0022
12050,0.0028
12100,0.0029
12150,0.0042
12200,0.0018
12250,0.0014
12300,0.0019
12350,0.0016
12400,0.0021
12450,0.0015
12500,0.0039
12550,0.0015
12600,0.0025
12650,0.0019
12700,0.0022
12750,0.0014
12800,0.0023
12850,0.0014
12900,0.0018
12950,0.0016
13000,0.0016
13050,0.0016
13100,0.0024
13150,0.0019
13200,0.0015
13250,0.0020
13300,0.0053
13350,0.0020
13400,0.0018
13450,0.0037
13500,0.0026
13550,0.0021
13600,0.0015
13650,0.0017
13700,0.0028
13750,0.0024
13800,0.0120
13850,0.0027
13900,0.0021
13950,0.0021
14000,0.0034
14050,0.0035
14100,0.0046
14150,0.0020
14200,0.0021
14250,0.0017
14300,0.0018
14350,0.0017
14400,0.0018
14450,0.0017
14500,0.0018
14550,0.0017
14600,0.0019
14650,0.0021
14700,0.0016
14750,0.0016
14800,0.0018
14850,0.0014
14900,0.0013
14950,0.0018
15000,0.0016
15050,0.0015
15100,0.0019
15150,0.0016
15200,0.0026
15250,0.0018
15300,0.0021
15350,0.0021
15400,0.0019
15450,0.0018
15500,0.0022
15550,0.0015
15600,0.0019
15650,0.0014
15700,0.0015
15750,0.0017
15800,0.0022
15850,0.0011
15900,0.0012
15950,0.0017
16000,0.0025
16050,0.0016
16100,0.0020
16150,0.0015
16200,0.0014
16250,0.0016
16300,0.0014
16350,0.0018
16400,0.0014
16450,0.0013
16500,0.0014
16550,0.0015
16600,0.0017
16650,0.0012
16700,0.0015
16750,0.0017
16800,0.0051
16850,0.0014
16900,0.0018
16950,0.0015
17000,0.0017
17050,0.0058
17100,0.0015
17150,0.0014
17200,0.0017
17250,0.0086
17300,0.0015
17350,0.0013
17400,0.0016
17450,0.0019
17500,0.0024
17550,0.0016
17600,0.0017
17650,0.0015
17700,0.0013
17750,0.0016
17800,0.0014
17850,0.0029
17900,0.0011
17950,0.0015
18000,0.0017
18050,0.0015
18100,0.0015
18150,0.0015
18200,0.0026
18250,0.0042
18300,0.0015
18350,0.0013
18400,0.0013
18450,0.0011
18500,0.0013
18550,0.0015
18600,0.0014
18650,0.0018
18700,0.0016
18750,0.0017
18800,0.0015
18850,0.0012
18900,0.0016
18950,0.0016
19000,0.0016
19050,0.0015
19100,0.0014
19150,0.0017
19200,0.0014
19250,0.0013
19300,0.0044
19350,0.0014
19400,0.0020
19450,0.0019
19500,0.0013
19550,0.0013
19600,0.0015
19650,0.0015
19700,0.0014
19750,0.0014
19800,0.0034
19850,0.0011
19900,0.0014
19950,0.0017
20000,0.0014
20050,0.0016
20100,0.0013
20150,0.0014
20200,0.0012
20250,0.0017
20300,0.0013
20350,0.0014
20400,0.0012
20450,0.0020
20500,0.0014
20550,0.0016
20600,0.0041
20650,0.0012
20700,0.0012
20750,0.0014
20800,0.0016
20850,0.0041
20900,0.0017
20950,0.0075
21000,0.0017
21050,0.0015
21100,0.0013
21150,0.0012
21200,0.0013
21250,0.0013
21300,0.0012
21350,0.0011
21400,0.0010
21450,0.0013
21500,0.0013
21550,0.0013
21600,0.0011
21650,0.0032
21700,0.0015
21750,0.0014
21800,0.0010
21850,0.0016
21900,0.0012
21950,0.0058
22000,0.0043
22050,0.0011
22100,0.0013
22150,0.0032
22200,0.0015
22250,0.0013
22300,0.0012
22350,0.0013
22400,0.0013
22450,0.0015
22500,0.0013
22550,0.0014
22600,0.0035
22650,0.0013
22700,0.0012
22750,0.0011
22800,0.0013
22850,0.0016
22900,0.0027
22950,0.0011
23000,0.0095
23050,0.0018
23100,0.0013
23150,0.0011
23200,0.0013
23250,0.0015
23300,0.0013
23350,0.0015
23400,0.0013
23450,0.0013
23500,0.0033
23550,0.0015
23600,0.0016
23650,0.0015
23700,0.0012
23750,0.0011
23800,0.0014
23850,0.0035
23900,0.0015
23950,0.0015
24000,0.0012
24050,0.0012
24100,0.0013
24150,0.0011
24200,0.0010
24250,0.0012
24300,0.0011
24350,0.0015
24400,0.0011
24450,0.0035
24500,0.0013
24550,0.0014
24600,0.0012
24650,0.0012
24700,0.0014
24750,0.0014
24800,0.0016
24850,0.0012
24900,0.0013
24950,0.0011
25000,0.0016
25050,0.0013
25100,0.0012
25150,0.0011
25200,0.0011
25250,0.0009
25300,0.0020
25350,0.0014
25400,0.0011
25450,0.0013
25500,0.0010
25550,0.0009
25600,0.0016
25650,0.0012
25700,0.0031
25750,0.0011
25800,0.0010
25850,0.0011
25900,0.0024
25950,0.0011
26000,0.0037
26050,0.0014
26100,0.0012
26150,0.0013
26200,0.0011
26250,0.0013
26300,0.0013
26350,0.0013
26400,0.0011
26450,0.0009
26500,0.0010
26550,0.0011
26600,0.0012
26650,0.0013
26700,0.0012
26750,0.0014
26800,0.0011
26850,0.0011
26900,0.0013
26950,0.0014
27000,0.0012
27050,0.0013
27100,0.0011
27150,0.0012
27200,0.0013
27250,0.0011
27300,0.0009
27350,0.0012
27400,0.0014
27450,0.0039
27500,0.0014
27550,0.0013
27600,0.0012
27650,0.0011
27700,0.0013
27750,0.0009
27800,0.0011
27850,0.0011
27900,0.0011
27950,0.0014
28000,0.0030
28050,0.0012
28100,0.0012
28150,0.0042
28200,0.0012
28250,0.0010
28300,0.0012
28350,0.0011
28400,0.0011
28450,0.0010
28500,0.0010
28550,0.0010
28600,0.0011
28650,0.0013
28700,0.0010
28750,0.0011
28800,0.0036
28850,0.0011
28900,0.0012
28950,0.0032
29000,0.0038
29050,0.0014
29100,0.0012
29150,0.0013
29200,0.0013
29250,0.0011
29300,0.0021
29350,0.0017
29400,0.0013
29450,0.0012
29500,0.0012
29550,0.0012
29600,0.0011
29650,0.0011
29700,0.0011
29750,0.0012
29800,0.0033
29850,0.0015
29900,0.0015
29950,0.0015
30000,0.0010
30050,0.0013
30100,0.0012
30150,0.0013
30200,0.0011
30250,0.0011
30300,0.0016
30350,0.0011
30400,0.0009
30450,0.0011
30500,0.0010
30550,0.0013
30600,0.0009
30650,0.0009
30700,0.0011
30750,0.0014
30800,0.0010
30850,0.0011
30900,0.0011
30950,0.0010
31000,0.0021
31050,0.0011
31100,0.0012
31150,0.0011
31200,0.0013
31250,0.0025
31300,0.0012
31350,0.0010
31400,0.0012
31450,0.0017
31500,0.0032
31550,0.0011
31600,0.0012
31650,0.0009
31700,0.0010
31750,0.0013
31800,0.0016
31850,0.0016
31900,0.0012
31950,0.0009
32000,0.0009
32050,0.0010
32100,0.0012
32150,0.0013
32200,0.0010
32250,0.0010
32300,0.0011
32350,0.0011
32400,0.0011
32450,0.0011
32500,0.0011
32550,0.0009
32600,0.0011
32650,0.0011
32700,0.0010
32750,0.0010
32800,0.0011
32850,0.0034
32900,0.0010
32950,0.0011
33000,0.0012
33050,0.0013
33100,0.0011
33150,0.0011
33200,0.0013
33250,0.0011
33300,0.0012
33350,0.0010
33400,0.0011
33450,0.0009
33500,0.0014
33550,0.0010
33600,0.0011
33650,0.0009
33700,0.0010
33750,0.0009
33800,0.0009
33850,0.0012
33900,0.0010
33950,0.0011
34000,0.0046
34050,0.0012
34100,0.0011
34150,0.0012
34200,0.0028
34250,0.0010
34300,0.0010
34350,0.0010
34400,0.0011
34450,0.0027
34500,0.0012
34550,0.0012
34600,0.0011
34650,0.0009
34700,0.0008
34750,0.0011
34800,0.0011
34850,0.0010
34900,0.0011
34950,0.0011
35000,0.0020
35050,0.0029
35100,0.0036
35150,0.0011
35200,0.0009
35250,0.0008
35300,0.0009
35350,0.0012
35400,0.0009
35450,0.0010
35500,0.0012
35550,0.0008
35600,0.0011
35650,0.0007
35700,0.0010
35750,0.0008
35800,0.0011
35850,0.0009
35900,0.0015
35950,0.0010
36000,0.0012
36050,0.0011
36100,0.0010
36150,0.0008
36200,0.0025
36250,0.0010
36300,0.0010
36350,0.0015
36400,0.0008
36450,0.0007
36500,0.0011
36550,0.0012
36600,0.0011
36650,0.0009
36700,0.0008
36750,0.0009
36800,0.0010
36850,0.0009
36900,0.0010
36950,0.0008
37000,0.0022
37050,0.0010
37100,0.0009
37150,0.0009
37200,0.0028
37250,0.0008
37300,0.0009
37350,0.0009
37400,0.0009
37450,0.0064
37500,0.0009
37550,0.0009
37600,0.0009
37650,0.0010
37700,0.0008
37750,0.0009
37800,0.0008
37850,0.0008
37900,0.0065
37950,0.0008
38000,0.0009
38050,0.0013
38100,0.0009
38150,0.0008
38200,0.0007
38250,0.0009
38300,0.0009
38350,0.0010
38400,0.0009
38450,0.0010
38500,0.0012
38550,0.0011
38600,0.0011
38650,0.0011
38700,0.0009
38750,0.0010
38800,0.0010
38850,0.0011
38900,0.0011
38950,0.0009
39000,0.0008
39050,0.0010
39100,0.0010
39150,0.0009
39200,0.0011
39250,0.0008
39300,0.0008
39350,0.0009
39400,0.0011
39450,0.0012
39500,0.0009
39550,0.0012
39600,0.0027
39650,0.0009
39700,0.0008
39750,0.0011
39800,0.0009
39850,0.0010
39900,0.0011
39950,0.0009
40000,0.0008
