iterazione,L2_loss_RGB_st,L2_loss_EVENTs_RGBt
50,0.3289,0.2047
100,0.2061,0.1629
150,0.1373,0.1282
200,0.0861,0.1275
250,0.0729,0.1038
300,0.0615,0.0928
350,0.066,0.0868
400,0.0608,0.0827
450,0.0473,0.0732
500,0.0416,0.062
550,0.0424,0.0469
600,0.0303,0.036
650,0.0295,0.0303
700,0.0264,0.0261
750,0.0257,0.0215
800,0.0294,0.0214
850,0.0285,0.0251
900,0.0187,0.0219
950,0.0221,0.0153
1000,0.0149,0.0142
1050,0.0137,0.0205
1100,0.0148,0.0152
1150,0.015,0.0165
1200,0.0133,0.0134
1250,0.0133,0.0166
1300,0.0123,0.0141
1350,0.0124,0.0154
1400,0.0124,0.0164
1450,0.0139,0.0125
1500,0.0233,0.0183
1550,0.0141,0.0105
1600,0.0126,0.0145
1650,0.0106,0.0113
1700,0.01,0.0091
1750,0.0108,0.0107
1800,0.0121,0.0091
1850,0.0102,0.0125
1900,0.0111,0.0091
1950,0.0161,0.011
2000,0.0087,0.007
2050,0.007,0.0076
2100,0.0109,0.0135
2150,0.0076,0.0122
2200,0.009,0.0124
2250,0.0102,0.0095
2300,0.0094,0.0104
2350,0.0113,0.0113
2400,0.0125,0.0135
2450,0.0109,0.0081
2500,0.0098,0.0089
2550,0.0084,0.013
2600,0.0104,0.0103
2650,0.0113,0.0097
2700,0.0104,0.0096
2750,0.0072,0.0071
2800,0.0076,0.009
2850,0.0114,0.0083
2900,0.0102,0.0085
2950,0.0083,0.0072
3000,0.0081,0.0064
3050,0.008,0.0074
3100,0.0072,0.0078
3150,0.0072,0.008
3200,0.0063,0.0081
3250,0.0087,0.0068
3300,0.007,0.0064
3350,0.008,0.0101
3400,0.0123,0.0084
3450,0.0084,0.0083
3500,0.0053,0.0071
3550,0.0049,0.0076
3600,0.0068,0.0057
3650,0.0087,0.0068
3700,0.0074,0.0062
3750,0.0079,0.0091
3800,0.0099,0.0089
3850,0.011,0.0103
3900,0.0096,0.0072
3950,0.0093,0.0076
4000,0.0058,0.0073
4050,0.009,0.0077
4100,0.0099,0.0067
4150,0.0068,0.0048
4200,0.0094,0.0106
4250,0.0069,0.0054
4300,0.0059,0.0064
4350,0.008,0.008
4400,0.0091,0.0081
4450,0.0092,0.009
4500,0.0073,0.0064
4550,0.0075,0.0074
4600,0.009,0.006
4650,0.0059,0.0056
4700,0.0063,0.0048
4750,0.006,0.0065
4800,0.0073,0.009
4850,0.006,0.0065
4900,0.0059,0.007
4950,0.0052,0.0068
5000,0.0058,0.0089
5050,0.0066,0.0066
5100,0.0075,0.0064
5150,0.0064,0.0055
5200,0.0079,0.0057
5250,0.0071,0.0061
5300,0.0061,0.0076
5350,0.0066,0.007
5400,0.0073,0.0067
5450,0.0073,0.0058
5500,0.0075,0.0058
5550,0.0085,0.0053
5600,0.0098,0.0064
5650,0.0063,0.0065
5700,0.0076,0.0066
5750,0.0058,0.0051
5800,0.0097,0.008
5850,0.0124,0.0075
5900,0.009,0.0073
5950,0.0072,0.0076
6000,0.0067,0.0051
6050,0.0102,0.0068
6100,0.0077,0.0076
6150,0.0161,0.0096
6200,0.0066,0.0075
6250,0.0058,0.0095
6300,0.0052,0.0048
6350,0.0058,0.0078
6400,0.0066,0.0077
6450,0.0074,0.0053
6500,0.0061,0.0079
6550,0.0073,0.0055
6600,0.0057,0.0046
6650,0.0086,0.0065
6700,0.005,0.0066
6750,0.0053,0.0074
6800,0.0041,0.005
6850,0.0056,0.0064
6900,0.0074,0.0055
6950,0.0077,0.0068
7000,0.0061,0.0063
7050,0.0087,0.0095
7100,0.0087,0.0052
7150,0.0063,0.0045
7200,0.0054,0.0047
7250,0.0074,0.0074
7300,0.0069,0.0045
7350,0.0065,0.0091
7400,0.0094,0.0076
7450,0.0079,0.0069
7500,0.0067,0.0055
7550,0.0137,0.0095
7600,0.0056,0.0076
7650,0.0064,0.005
7700,0.0062,0.0073
