iterazione,loss
50, 0.0655
100, 0.0573
150, 0.0505
200, 0.0461
250, 0.0401
300, 0.0345
350, 0.0304
400, 0.0267
450, 0.0238
500, 0.0217
550, 0.0058
600, 0.0062
650, 0.0060
700, 0.0057
750, 0.0056
800, 0.0055
850, 0.0056
900, 0.0054
950, 0.0052
1000, 0.0053
1050, 0.0054
1100, 0.0052
1150, 0.0052
1200, 0.0052
1250, 0.0051
1300, 0.0050
1350, 0.0051
1400, 0.0050
1450, 0.0049
1500, 0.0048
1550, 0.0049
1600, 0.0050
1650, 0.0050
1700, 0.0048
1750, 0.0056
1800, 0.0050
1850, 0.0054
1900, 0.0052
1950, 0.0049
2000, 0.0048
2050, 0.0048
2100, 0.0046
2150, 0.0045
2200, 0.0045
2250, 0.0044
2300, 0.0044
2350, 0.0043
2400, 0.0042
2450, 0.0043
2500, 0.0042
2550, 0.0042
2600, 0.0042
2650, 0.0041
2700, 0.0041
2750, 0.0041
2800, 0.0040
2850, 0.0040
2900, 0.0039
2950, 0.0040
3000, 0.0040
3050, 0.0039
3100, 0.0038
3150, 0.0039
3200, 0.0037
3250, 0.0037
3300, 0.0037
3350, 0.0037
3400, 0.0036
3450, 0.0036
3500, 0.0036
3550, 0.0035
3600, 0.0035
3650, 0.0035
3700, 0.0035
3750, 0.0034
3800, 0.0034
3850, 0.0034
3900, 0.0034
3950, 0.0033
4000, 0.0033
4050, 0.0033
4100, 0.0033
4150, 0.0032
4200, 0.0032
4250, 0.0032
4300, 0.0032
4350, 0.0035
4400, 0.0041
4450, 0.0039
4500, 0.0038
4550, 0.0038
4600, 0.0037
4650, 0.0036
4700, 0.0036
4750, 0.0035
4800, 0.0035
4850, 0.0034
4900, 0.0034
4950, 0.0033
5000, 0.0033
5050, 0.0033
5100, 0.0033
5150, 0.0032
5200, 0.0032
5250, 0.0031
5300, 0.0031
5350, 0.0031
5400, 0.0031
5450, 0.0030
5500, 0.0030
5550, 0.0030
5600, 0.0029
5650, 0.0029
5700, 0.0029
5750, 0.0029
5800, 0.0028
5850, 0.0028
5900, 0.0028
5950, 0.0028
6000, 0.0027
6050, 0.0027
6100, 0.0027
6150, 0.0027
6200, 0.0026
6250, 0.0026
6300, 0.0026
6350, 0.0025
6400, 0.0025
6450, 0.0025
6500, 0.0025
6550, 0.0024
6600, 0.0024
6650, 0.0024
6700, 0.0024
6750, 0.0024
6800, 0.0024
6850, 0.0026
6900, 0.0023
6950, 0.0023
7000, 0.0023
7050, 0.0023
7100, 0.0022
7150, 0.0022
7200, 0.0022
7250, 0.0022
7300, 0.0021
7350, 0.0021
7400, 0.0021
7450, 0.0021
7500, 0.0021
7550, 0.0021
7600, 0.0021
7650, 0.0020
7700, 0.0020
7750, 0.0020
7800, 0.0020
7850, 0.0020
7900, 0.0019
7950, 0.0019
8000, 0.0019
8050, 0.0019
8100, 0.0019
8150, 0.0019
8200, 0.0019
8250, 0.0018
8300, 0.0018
8350, 0.0018
8400, 0.0018
8450, 0.0018
8500, 0.0018
8550, 0.0018
8600, 0.0017
8650, 0.0017
8700, 0.0017
8750, 0.0020
8800, 0.0022
8850, 0.0023
8900, 0.0022
8950, 0.0020
9000, 0.0020
9050, 0.0020
9100, 0.0020
9150, 0.0019
9200, 0.0019
9250, 0.0019
9300, 0.0019
9350, 0.0018
9400, 0.0018
9450, 0.0018
9500, 0.0018
9550, 0.0017
9600, 0.0017
9650, 0.0017
9700, 0.0017
9750, 0.0016
9800, 0.0016
9850, 0.0016
9900, 0.0016
9950, 0.0015
10000, 0.0015
10050, 0.0015
