iterazione,loss
50,0.0791
100,0.0473
150,0.0223
200,0.0171
250,0.0082
300,0.0055
350,0.0052
400,0.0054
450,0.0049
500,0.0047
550,0.0042
600,0.0035
650,0.0036
700,0.0035
750,0.0034
800,0.0034
850,0.0038
900,0.0039
950,0.003
1000,0.0031
1050,0.003
1100,0.0028
1150,0.0034
1200,0.0026
1250,0.0027
1300,0.0027
1350,0.0029
1400,0.0027
1450,0.0033
1500,0.0037
1550,0.003
1600,0.0033
1650,0.0027
1700,0.0022
1750,0.0026
1800,0.0025
1850,0.002
1900,0.0027
1950,0.0033
2000,0.002
2050,0.002
2100,0.0032
2150,0.002
2200,0.0024
2250,0.0024
2300,0.0019
2350,0.0024
2400,0.0021
2450,0.0021
2500,0.002
2550,0.0019
2600,0.0026
2650,0.0023
2700,0.0026
2750,0.0021
2800,0.0017
2850,0.0023
2900,0.002
2950,0.0018
3000,0.0024
3050,0.0019
3100,0.0016
3150,0.0019
3200,0.0016
3250,0.0017
3300,0.0015
3350,0.0021
3400,0.0028
3450,0.002
3500,0.0021
3550,0.002
3600,0.0019
3650,0.002
3700,0.002
3750,0.0017
3800,0.0021
3850,0.0024
3900,0.0016
3950,0.0017
4050,0.0019
4100,0.0021
4150,0.002
4200,0.002
4250,0.0018
4300,0.0016
4350,0.0016
4400,0.0017
4450,0.0021
4500,0.0013
4550,0.0016
4600,0.0015
4650,0.0013
4700,0.0018
4750,0.0015
4800,0.0019
4850,0.0013
4900,0.0015
4950,0.0017
5000,0.002
5050,0.0028
5100,0.0022
5150,0.0015
5200,0.0021
5250,0.0015
5300,0.0019
5350,0.0022
5400,0.0019
5450,0.0019
5500,0.0015
5550,0.0019
5600,0.0017
5650,0.0027
5700,0.0021
5750,0.0014
5800,0.0018
5850,0.0021
5900,0.0016
5950,0.0014
6000,0.0017
6050,0.0018
6100,0.0015
6150,0.0022
6200,0.0015
6250,0.0019
6300,0.0011
6350,0.0017
6400,0.0013
6450,0.0015
6500,0.0015
6550,0.0013
6600,0.0013
6650,0.0016
6700,0.0011
6750,0.0012
6800,0.0011
6850,0.0012
6900,0.0012
6950,0.0014
7000,0.0012
7050,0.0016
7100,0.0012
7150,0.0012
7200,0.0019
7250,0.0016
7300,0.0011
7350,0.002
7400,0.0014
7450,0.0013
7500,0.0014
7550,0.0023
7600,0.0012
7650,0.0011
7700,0.0011
7750,0.0014
7800,0.001
7850,0.0011
7900,0.0012
7950,0.0014
8050,0.0011
8100,0.0011
8150,0.0015
8200,0.0015
8250,0.001
8300,0.001
8350,0.0015
8400,0.0012
8450,0.0013
8500,0.0013
8550,0.001
8600,0.0014
8650,0.0011
8700,0.0011
8750,0.001
8800,0.0009
8850,0.001
8900,0.0009
8950,0.001
9000,0.001
9050,0.0011
9100,0.0012
9150,0.0012
9200,0.0011
9250,0.0013
9300,0.0015
9350,0.0011
9400,0.0011
9450,0.0013
9500,0.0013
9550,0.0011
9600,0.0017
9650,0.0011
9700,0.0009
9750,0.001
9800,0.0009
9850,0.001
9900,0.001
9950,0.0011
10000,0.001
10050,0.001
10100,0.001
10150,0.0013
10200,0.0009
10250,0.0011
10300,0.0011
10350,0.0009
10400,0.001
10450,0.0014
10500,0.001
10550,0.0012
10600,0.0012
10650,0.0009
10700,0.0011
10750,0.0013
10800,0.001
10850,0.001
10900,0.001
10950,0.0009
11000,0.0008
11050,0.0009
11100,0.0012
11150,0.0011
11200,0.0008
11250,0.001
11300,0.0009
11350,0.0009
11400,0.0008
11450,0.0009
11500,0.0008
11550,0.0008
11600,0.0008
11650,0.0009
11700,0.0011
11750,0.0013
11800,0.001
11850,0.0009
11900,0.0008
11950,0.001
12050,0.001
12100,0.0009
12150,0.001
12200,0.0009
12250,0.0015
12300,0.0011
12350,0.001
12400,0.0009
12450,0.0008
12500,0.0009
12550,0.0009
12600,0.0009
12650,0.001
12700,0.001
12750,0.001
12800,0.001
12850,0.0008
12900,0.0009
12950,0.0012
13000,0.001
13050,0.0009
13100,0.0008
13150,0.0008
13200,0.001
13250,0.001
13300,0.001
13350,0.001
13400,0.001
13450,0.0012
13500,0.0014
13550,0.0008
13600,0.001
13650,0.001
13700,0.0008
13750,0.001
13800,0.0009
13850,0.0008
13900,0.0008
13950,0.0011
14000,0.0009
14050,0.0011
14100,0.0013
14150,0.0016
14200,0.001
14250,0.0009
14300,0.001
14350,0.0009
14400,0.0009
14450,0.0009
14500,0.0011
14550,0.0021
14600,0.0013
14650,0.0008
14700,0.0011
14750,0.0009
14800,0.001
14850,0.0009
14900,0.0011
14950,0.0009
15000,0.0008
15050,0.0009
15100,0.0009
15150,0.0008
15200,0.0009
15250,0.0015
15300,0.0012
15350,0.001
15400,0.0011
15450,0.0011
15500,0.0008
15550,0.001
15600,0.001
15650,0.0012
15700,0.0009
15750,0.001
15800,0.0019
15850,0.0009
15900,0.0009
15950,0.001
16050,0.0011
16100,0.0011
16150,0.0011
16200,0.001
16250,0.001
16300,0.0007
16350,0.001
16400,0.0009
16450,0.0009
16500,0.0009
16550,0.0009
16600,0.001
16650,0.0009
16700,0.0009
16750,0.0009
16800,0.0009
16850,0.001
16900,0.0008
16950,0.0009
17000,0.001
17050,0.0009
17100,0.001
17150,0.0015
17200,0.0009
17250,0.0009
17300,0.0008
17350,0.0009
17400,0.001
17450,0.0014
17500,0.001
17550,0.0009
17600,0.0008
17650,0.0008
17700,0.0014
17750,0.0012
17800,0.0009
17850,0.0009
17900,0.0008
17950,0.0008
18000,0.0008
18050,0.0009
18100,0.0013
18150,0.0008
18200,0.0009
18250,0.001
18300,0.0007
18350,0.0008
18400,0.0007
18450,0.0009
18500,0.0009
18550,0.0008
18600,0.0009
18650,0.0009
18700,0.0009
18750,0.0012
18800,0.0011
18850,0.0008
18900,0.0009
18950,0.0009
19000,0.0009
19050,0.0008
19100,0.0009
19150,0.0012
19200,0.0008
19250,0.0008
19300,0.0008
19350,0.0017
19400,0.0009
19450,0.0007
19500,0.0011
19550,0.0007
19600,0.0008
19650,0.0011
19700,0.0008
19750,0.0007
19800,0.0019
19850,0.0006
19900,0.0007
19950,0.0008
20050,0.0008
20100,0.001
20150,0.0008
20200,0.0008
20250,0.0012
20300,0.0012
20350,0.0007
20400,0.0008
20450,0.0007
20500,0.0007
20550,0.0008
20600,0.0012
20650,0.0008
20700,0.0008
20750,0.0007
20800,0.0007
20850,0.0007
20900,0.0007
20950,0.0008
21000,0.0014
21050,0.0012
21100,0.0006
21150,0.0006
21200,0.0007
21250,0.0007
21300,0.0006
21350,0.0007
21450,0.0012
21500,0.0007
21550,0.0008
21600,0.0008
21650,0.0007
21700,0.0008
21750,0.0007
21800,0.0008
21850,0.0008
21900,0.001
21950,0.0007
22000,0.0009
22050,0.0006
22100,0.0007
22150,0.0008
22200,0.0008
22250,0.0006
22300,0.0006
22350,0.0008
22400,0.0007
22450,0.0007
22500,0.0011
22550,0.0011
22600,0.0006
22650,0.0012
22700,0.0008
22750,0.0009
22800,0.0007
22850,0.0006
22900,0.0007
22950,0.0007
23000,0.0008
23050,0.0007
23100,0.0007
23150,0.0007
23200,0.0007
23250,0.0007
23300,0.0008
23350,0.0009
23400,0.0006
23450,0.0007
23500,0.0007
23550,0.0011
23600,0.0008
23650,0.0012
23700,0.0009
23750,0.0007
23800,0.0007
23850,0.0008
23900,0.001
23950,0.0007
24050,0.0008
24100,0.0007
24150,0.0007
24200,0.0008
24250,0.0009
24300,0.0006
24350,0.0006
24400,0.0008
24450,0.0007
24500,0.0005
24550,0.0006
24600,0.0008
24650,0.0008
24700,0.0007
24750,0.001
24800,0.0007
24850,0.0007
24900,0.0006
24950,0.0011
25000,0.0007
25050,0.0008
25100,0.0008
25150,0.0006
25200,0.0006
25250,0.0007
25300,0.0008
25350,0.0007
25400,0.0007
25450,0.0008
25500,0.0005
25550,0.0008
25600,0.0007
25650,0.0007
25700,0.0006
25750,0.001
25800,0.0006
25850,0.0006
25900,0.0006
25950,0.0006
26000,0.0007
26050,0.0008
26100,0.0006
26150,0.0017
26200,0.0011
26250,0.0007
26300,0.0008
26350,0.0007
26400,0.0006
26450,0.0018
26500,0.0006
26550,0.0008
26600,0.0006
26650,0.0006
26700,0.0015
26750,0.0007
26800,0.0006
26850,0.0008
26900,0.0007
26950,0.0007
27000,0.0007
27050,0.0009
27100,0.0006
27150,0.0006
27200,0.0005
27250,0.0007
27300,0.0006
27350,0.0007
27400,0.0009
27450,0.0008
27500,0.0007
27550,0.0013
27600,0.0006
27650,0.0007
27700,0.0008
27750,0.0006
27800,0.0007
27850,0.0008
27900,0.0006
27950,0.0007
28050,0.0007
28100,0.0006
28150,0.002
28200,0.0008
28250,0.0007
28300,0.0007
28350,0.0007
28400,0.0007
28450,0.0007
28500,0.0008
28550,0.0006
28600,0.0006
28650,0.0011
28700,0.0012
28750,0.0008
28800,0.0007
28850,0.0006
28900,0.0006
28950,0.0008
29000,0.0006
29050,0.0007
29100,0.0008
29150,0.0006
29200,0.001
29250,0.0007
29300,0.0007
29350,0.0009
29400,0.0007
29450,0.0008
29500,0.0006
29550,0.0007
29600,0.0006
29650,0.0006
29700,0.0007
29750,0.0006
29800,0.0007
29850,0.0007
29900,0.0007
29950,0.0007
30000,0.0007
30050,0.0006
30100,0.0007
30150,0.001
30200,0.0006
30250,0.0013
30300,0.0008
30350,0.0015
30400,0.0006
30450,0.0006
30500,0.0007
30550,0.0006
30600,0.0008
30650,0.0006
30700,0.0011
30750,0.0007
30800,0.0007
30850,0.0006
30900,0.0007
30950,0.0006
31000,0.0005
31050,0.0006
31100,0.0009
31150,0.0006
31200,0.0007
31250,0.0006
31300,0.0011
31350,0.0007
31400,0.0006
31450,0.0009
31500,0.0007
31550,0.0006
31600,0.0008
31650,0.0009
31700,0.0008
31750,0.0008
31800,0.0006
31850,0.0007
31900,0.001
31950,0.0008
32050,0.0009
32100,0.0006
32150,0.0006
32200,0.001
32250,0.0005
32300,0.001
32350,0.0011
32400,0.0006
32450,0.001
32500,0.0009
32550,0.0006
32600,0.0007
32650,0.0006
32700,0.0006
32750,0.0006
32800,0.0007
32850,0.0009
32900,0.0005
32950,0.0006
33000,0.0013
33050,0.0006
33100,0.0006
33150,0.0006
33200,0.0007
33250,0.0005
33300,0.0006
33350,0.0008
33400,0.0008
33450,0.0006
33500,0.0006
33550,0.0013
33600,0.0006
33650,0.001
33700,0.0006
33750,0.0006
33800,0.0007
33850,0.0006
33900,0.0006
33950,0.0007
34000,0.0005
34050,0.001
34100,0.001
34150,0.0005
34200,0.0006
34250,0.0007
34300,0.0007
34350,0.0015
34400,0.0006
34450,0.0007
34500,0.0007
34550,0.0006
34600,0.0007
34650,0.0011
34700,0.0006
34750,0.0006
34800,0.0007
34850,0.0006
34900,0.0007
34950,0.0006
35000,0.0005
35050,0.0007
35100,0.0007
35150,0.0006
35200,0.0007
35250,0.0006
35300,0.001
35350,0.0005
35400,0.0006
35450,0.0008
35500,0.0006
35550,0.0006
35600,0.0008
35650,0.0011
35700,0.0006
35750,0.0005
35800,0.0006
35850,0.0016
35900,0.0005
35950,0.0006
36050,0.0007
36100,0.0005
36150,0.0008
36200,0.0005
36250,0.0005
36300,0.0005
36350,0.0007
36400,0.0005
36450,0.0006
36500,0.0007
36550,0.0006
36600,0.0012
36650,0.0008
36700,0.0006
36750,0.0006
36800,0.0006
36850,0.0013
36900,0.0006
36950,0.0005
37000,0.0006
37050,0.0007
37100,0.0006
37150,0.0006
37200,0.0006
37250,0.0005
37300,0.0005
37350,0.0008
37400,0.0007
37450,0.0005
37500,0.0006
37550,0.0005
37600,0.0006
37650,0.0015
37700,0.0006
37750,0.0011
37800,0.0005
37850,0.0006
37900,0.0013
37950,0.0007
38000,0.0008
38050,0.0007
38100,0.0005
38150,0.0009
38200,0.0008
38250,0.0006
38300,0.0017
38350,0.0005
38400,0.0006
38450,0.0006
38500,0.0005
38550,0.0009
38600,0.0006
38650,0.0005
38700,0.0005
38750,0.0005
38800,0.0006
38850,0.0005
38900,0.0006
38950,0.0007
39000,0.0005
39050,0.0006
39100,0.0005
39150,0.0007
39200,0.0005
39250,0.0006
39300,0.0006
39350,0.0006
39400,0.0006
39450,0.0005
39500,0.0006
39550,0.0008
39600,0.0007
39650,0.001
39700,0.0006
39750,0.0006
39800,0.0005
39850,0.0004
39900,0.0009
39950,0.0007
